MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     387.55273 Sec       3/3/2022 5:11:50 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
0.62011719 -0.00097830466 0.24558273
1.1201172 -0.0010127125 0.26597244
1.6201172 -0.0014053794 0.0067792363
2.1201172 -0.0015879648 -0.12301896
2.6201172 -0.0017467779 -0.19946209
3.1201172 -0.0019326212 -0.28909722
3.6201172 -0.002064009 -0.41971144
4.1201172 -0.002217622 -0.5013321
4.6201172 -0.0024073636 -0.59896892
5.1201172 -0.0025828653 -0.70598036
5.6201172 -0.0027471012 -0.80446821
6.1201172 -0.0029003699 -0.90558344
6.6201172 -0.0030638345 -1.0057039
7.1201172 -0.0032138024 -1.0860498
7.6201172 -0.0033969469 -1.2056608
8.1201172 -0.0035662712 -1.2766386
8.6201172 -0.0037484264 -1.3849542
9.1201172 -0.0038744234 -1.479441
9.6201172 -0.0040733856 -1.5867844
10.120117 -0.0042424649 -1.7090147
10.620117 -0.0044158841 -1.7791651
11.120117 -0.0045938888 -1.8415254
11.620117 -0.0047161011 -1.9431639
12.120117 -0.004945314 -2.0507843
12.620117 -0.0050689634 -2.1308229
13.120117 -0.005224789 -2.246896
13.620117 -0.0053680479 -2.3344426
14.120117 -0.0055710115 -2.4300828
14.620117 -0.005712721 -2.548135
15.120117 -0.0058994875 -2.6421816
15.620117 -0.0060702269 -2.7245262
16.120117 -0.0062361271 -2.8360155
16.620117 -0.0064246454 -2.9111025
17.120117 -0.006572478 -2.970892
17.620117 -0.0067185904 -3.0897164
18.120117 -0.0068901656 -3.2015114
18.620117 -0.0070455549 -3.2944846
19.120117 -0.0072404104 -3.4092052
19.620117 -0.0073925038 -3.4782593
20.120117 -0.0075562587 -3.5557749
20.620117 -0.0077372156 -3.6774297
21.120117 -0.0079246014 -3.775161
21.620117 -0.0080598015 -3.8592427
22.120117 -0.008220342 -3.9664297
22.620117 -0.0083865123 -4.0404925
23.120117 -0.0085601173 -4.1418138
23.620117 -0.008744128 -4.2411709
24.120117 -0.0088834176 -4.3340521
24.620117 -0.0090460535 -4.4382024
25.120117 -0.0092372512 -4.5507369
25.620117 -0.0093960324 -4.6441669
26.120117 -0.0095496699 -4.7278161
26.620117 -0.0097230021 -4.8358169
27.120117 -0.0098836916 -4.9327974
27.620117 -0.010078306 -5.0118623
